x,y,z,yaw
-0.073291745,3.076857966,75.0,0.09131833772326028
4.696505698,3.513642737,75.0,0.09132289754403111
9.469034378,3.95069956,75.0,0.09151134318419123
14.28848861,4.392969551,75.0,0.09154130898222516
19.1169376,4.836210877,75.0,0.09150627931580883
23.92815327,5.277700266,75.0,0.09148865581911288
28.73017437,5.718260597,75.0,0.09149892801575808
33.53639912,6.159256377,75.0,0.09151209206761644
38.34753873,6.600766988,75.0,0.09152088190905108
43.16226709,7.04264961,75.0,0.09152394326026943
47.97850777,7.484685897,75.0,0.09152192880969819
52.79341152,7.926589699,75.0,0.09150708854228157
57.59443106,8.367147383,75.0,0.09151540363517853
62.40035384,8.808195303,75.0,0.09150676796135432
67.20184976,9.248795149,75.0,0.09154326287391236
72.01752568,9.690873423,75.0,0.09151479278740778
76.81932731,10.13154018,75.0,0.09154555320272564
81.63283186,10.57343024,75.0,0.0915482177478006
86.44752051,11.01544194,75.0,0.09149784329434013
91.2336332,11.4545871,75.0,0.09161812816493307
96.0511627,11.89719924,75.0,0.09165963855881769
100.8821982,12.34125448,75.0,0.09163554525434747
105.6878598,12.78286066,75.0,0.09162187377095135
110.4804643,13.22320091,75.0,0.0916939673385764
115.3001861,13.66638308,75.0,0.09168310141770047
120.1130792,14.1088846,75.0,0.09167680927867618
124.9206497,14.55086625,75.0,0.0917314545703846
129.7698041,14.99693812,75.0,0.09188398808288067
134.565837,15.43886112,75.0,0.09192250269570289
139.3391326,15.87887443,75.0,0.09201631625294462
144.1644797,16.3241425,75.0,0.09201589746540306
148.9867365,16.76912337,75.0,0.09203028156243186
153.7970183,17.21306901,75.0,0.09204208887793168
158.5983994,17.65625037,75.0,0.09203284969940415
163.4152898,18.1008184,75.0,0.09204818674020888
168.2212838,18.5444551,75.0,0.09206067625996503
173.0167464,18.98718006,75.0,0.0920610224125793
177.8278503,19.43135073,75.0,0.09206051770529501
182.6408271,19.87569186,75.0,0.09206156394524889
187.4522498,20.31989459,75.0,0.09206447798547504
192.2607199,20.76383886,75.0,0.09206060891411505
197.073223,21.2081367,75.0,0.09206149077600086
201.8850397,21.65237545,75.0,0.09207166857624174
206.6902636,22.09605486,75.0,0.09207528434115106
211.4926041,22.53948555,75.0,0.09207350684234919
216.297623,22.98315494,75.0,0.09206911069596035
221.1163379,23.42806758,75.0,0.09208535946549737
225.9213369,23.87179257,75.0,0.09207911114649042
230.7335451,24.31615298,75.0,0.09208018849396683
235.5448104,24.76043155,75.0,0.09208069814163884
240.3556961,25.20467754,75.0,0.09205845285126761
245.1812692,25.65017153,75.0,0.0921352979053841
249.9805247,26.09360784,75.0,0.09214940311361544
254.7731814,26.53650262,75.0,0.09212283984694727
259.5975667,26.98220023,75.0,0.09216165913273608
264.4031397,27.42634802,75.0,0.09216148549033197
269.2088062,27.87050361,75.0,0.09215877816611252
274.0161771,28.3148036,75.0,0.0921747877012559
278.8132841,28.75823245,75.0,0.09215088951654347
283.6449048,29.20473518,75.0,0.09222224914708312
288.4461678,29.64877802,75.0,0.09223210815077286
293.2419602,30.0923626,75.0,0.09220611925614108
298.0679048,30.5386096,75.0,0.09221315475858946
302.8904131,30.98457307,75.0,0.09227559916946614
307.6919575,31.42890029,75.0,0.09230315904923742
312.4823977,31.8723331,75.0,0.09226641663100665
317.3026698,32.31834871,75.0,0.09228187436860401
322.1151043,32.76371414,75.0,0.09231627899499055
326.9119603,33.20780431,75.0,0.09229300854972317
331.7250519,33.6532846,75.0,0.09232068234651544
336.521818,34.09738775,75.0,0.09231496038590895
341.3246941,34.54202887,75.0,0.09230228713365964
346.1496855,34.98865571,75.0,0.09231053956348818
350.9694131,35.43483542,75.0,0.09237902978585683
355.7584725,35.87850688,75.0,0.09237964988013743
360.5469413,36.32212662,75.0,0.09238777836372405
365.3807811,36.76998931,75.0,0.09242268402725994
370.1883436,37.21558662,75.0,0.09246091045342905
374.9657599,37.65857397,74.03194423,0.09248006948165163
379.776179,38.10471447,73.05027353,0.09248177093545455
384.5901639,38.55119394,72.04979275,0.09248296897784103
389.4112577,38.99833856,71.04090138,0.09248670778403414
394.2257117,39.44488551,70.01644614,0.09248950192025968
399.0370533,39.89115734,68.97490957,0.09249420396969533
403.8439022,40.33703525,67.91732994,0.09249725785759684
408.6474886,40.78262533,66.84671554,0.09249485229707201
413.4548462,41.22855357,65.75386398,0.09249205147507543
418.2671283,41.67492501,64.64335763,0.09250424042144098
423.0637696,42.11990463,63.50896383,0.09250359347074454
427.8672738,42.56551778,62.35438645,0.09250592282535876
432.6821436,43.01219661,61.17324184,0.09250635508380342
437.4940806,43.45860546,59.96864002,0.09250638966603812
442.3059177,43.90500521,58.73731805,0.09251794560950377
447.0957024,44.34941496,57.47035481,0.09254648207916479
451.9366043,44.79870684,56.17927484,0.09258700507489726
456.7468394,45.24534909,54.85450283,0.09264383802446453
461.5176212,45.68860148,53.4935898,0.0926682576969474
466.3233127,46.13521569,52.08178976,0.09267926840418747
471.141775,46.58307026,50.64549801,0.09268152043198012
475.9680597,47.03166285,49.15641168,0.09267760201612787
480.7998524,47.4807483,47.62496687,0.09275477198134657
485.5935231,47.92666367,46.04764917,0.092758834000292
490.3837942,48.37228243,44.39937044,0.09275305857613801
495.2065429,48.82089435,42.69583672,0.0927890248010003
499.9927289,49.26627884,40.91661201,0.09279868209325567
504.8184334,49.71538778,39.04645193,0.09279903414250897
509.6436495,50.16445298,37.08600697,0.09286946741941524
514.4263529,50.60990146,35.02131646,0.09286261298169339
519.2367049,51.0578918,32.81475766,0.09286994889872321
524.0254695,51.50390713,30.43996755,0.09287574739713574
528.8220457,51.95067807,27.87520345,0.0929644854245409
533.68273,52.40385535,25.04014924,0.09304599569733603
538.4887753,52.85233361,21.84964266,0.09304460826825332
543.2958173,53.30089815,18.1198822,0.09303073682156898
